Term	POS1	POS2	POS3	POS4	Subjectivity1	Subjectivity2	Subjectivity3	Subjectivity4	Polarity1	Polarity2	Polarity3	Polarity4	Anger1	Anger2	Anger3	Anger4	Disgust1	Disgust2	Disgust3	Disgust4	Fear1	Fear2	Fear3	Fear4	Happiness1	Happiness2	Happiness3	Happiness4	Sadness1	Sadness2	Sadness3	Sadness4	Surprise1	Surprise2	Surprise3	Surprise4	Aditional1	Aditional2	Aditional3	Aditional4	Comments1	Comments2	Comments3	Comments4	
αβάφτιστος	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	BOTH	N/A	BOTH	N/A	3	N/A	5	N/A	4	N/A	5	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	1	N/A	4	N/A	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Χριστός	NOUN	NOUN	NOUN	N/A	SUBJ+	SUBJ-	SUBJ+	SUBJ-	BOTH	BOTH	BOTH	NEG	5	5	5	3	4	5	5	1	5	5	5	2	5	5	5	1	5	5	5	1	5	5	5	3	N/A	N/A	N/A	χριστοπαναγία	N/A	in opinionated contexts it only has a negative polarity. In other contexts, can be used having a positive polarity (e.g. as a wish). Suggest not to be used, as it's highly ambiguous. Further research should be done concerning its context	N/A	N/A	
α 	INTJ	INTJ	INTJ	INTJ	SUBJ+	SUBJ+	SUBJ+	SUBJ-	BOTH	BOTH	BOTH	BOTH	4	5	5	1	5	5	5	1	5	5	5	1	5	5	5	1	4	5	5	1	5	5	5	4	N/A	N/A	N/A	N/A	N/A	not to be used, higly ambiguous. (letter repetition is usual (e.g. aaa) in order to emphasize)	N/A	N/A	
αβάπτιστος	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	BOTH	N/A	BOTH	N/A	3	N/A	5	N/A	4	N/A	5	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	1	N/A	4	N/A	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αβεβαιότητα	NOUN	NOUN	NOUN	NOUN	OBJ	SUBJ+	OBJ	SUBJ-	N/A	NEG	N/A	NEG	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	1	N/A	1	N/A	1	N/A	2	N/A	1	N/A	1	N/A	N/A	N/A	αβέβαιος	N/A	sentiment: uncertainty. Not included	N/A	N/A	
αγάμητος	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ-	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	5	4	4	1	5	4	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	N/A	N/A	N/A	N/A	N/A	used to swear at someone	N/A	N/A	
αγανάκτηση	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	5	5	5	5	4	3	5	2	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγανακτώ	VERB	VERB	VERB	VERB	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	5	5	5	5	4	3	5	2	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγάπη	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	4	5	5	1	1	1	1	3	1	5	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγαπημένος -η -ο	PART	PART	PART	PART	SUBJ+	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	4	5	5	1	1	1	1	4	1	5	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγαπητός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ+	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	4	5	5	2	1	1	1	4	1	5	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
αγαπώ	VERB	VERB	VERB	VERB	SUBJ+	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	4	5	5	1	1	1	1	2	1	5	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
άγγελος 	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ+	OBJ	POS	BOTH	POS	N/A	1	1	1	N/A	1	1	1	N/A	1	5	1	N/A	5	4	5	N/A	1	1	1	N/A	4	1	5	N/A	N/A	N/A	N/A	αγγελικός	N/A	can express fear, but only in frozen expressions. Used to characterize someone (positive polarity in free structures, negative polarity in frozen/multiword expressions)	N/A	N/A	
αγέλη	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	4	3	5	N/A	3	3	5	N/A	5	1	5	N/A	1	1	1	N/A	3	1	3	N/A	3	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
